Fund,Sector,Country,Percent,Date,ISIN
Aberdeen Asian Income,Asia Pacific - Excluding Japan,UK,2.84,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Australia,17.35,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,China,4.45,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Hong Kong,9.43,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Japan,3.01,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Malaysia,9.21,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,New Zealand,1.71,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Singapore,30.89,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Taiwan,4.35,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Thailand,10.62,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,1.25,30/06/2014,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Fixed Interest,4.89,30/06/2014,GB00B0P6J834
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,India,12.83,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Pakistan,0.22,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Sri Lanka,4.44,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Denmark,0.43,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,UK,3,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Australia,3.05,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,China,2,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Hong Kong,13.77,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Indonesia,9.47,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Malaysia,20.45,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,New Zealand,1.69,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Philippines,5.44,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Singapore,8.6,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,South Korea,0.68,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Thailand,13.13,30/06/2014,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,0.8,30/06/2014,GB0000100767
Aberdeen Japan,Japan,Japan,99.55,30/06/2014,GB0003920757
Aberdeen Japan,Japan,Cash/Cash Equiv.,0.45,30/06/2014,GB0003920757
Aberdeen Japan,Japan,Fixed Interest,0,30/06/2014,GB0003920757
Aberdeen Latin American Income,Latin America,Argentina,1.81,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Brazil,36.03,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Chile,4.24,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Colombia,1.75,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Mexico,9.98,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Peru,0.68,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,USA,0.95,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Cash/Cash Equiv.,2.63,30/06/2014,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Fixed Interest,41.93,30/06/2014,JE00B44ZTP62
Aberdeen New Dawn,Asia Pacific - Excluding Japan,India,12.42,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Other Asia,0.97,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Sri Lanka,2.66,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,UK,10.68,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Australia,4.64,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,China,5.64,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Hong Kong,21.16,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Indonesia,0.82,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Malaysia,2.71,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Philippines,3.16,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Singapore,19.53,30/06/2014,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,South Korea,5.76,30/06/2014,GB00BBM56V29
