Fund,Sector,Country,Percent,Date,SEDOL
JPMorgan Overseas,Global Growth,Australia,1,30/06/2010,914327
JPMorgan Overseas,Global Growth,China,1,30/06/2010,914327
JPMorgan Overseas,Global Growth,Hong Kong,6,30/06/2010,914327
JPMorgan Overseas,Global Growth,Indonesia,3,30/06/2010,914327
JPMorgan Overseas,Global Growth,Japan,9,30/06/2010,914327
JPMorgan Overseas,Global Growth,Israel,1,30/06/2010,914327
JPMorgan Overseas,Global Growth,Canada,2,30/06/2010,914327
JPMorgan Overseas,Global Growth,USA,30,30/06/2010,914327
JPMorgan Russian Securities,Country Specialists: Europe,Russia,100,30/06/2010,3216473
JPMorgan Smaller Companies,UK Smaller Companies,UK,100,30/06/2010,741600
JPMorgan US Smaller Companies,North American Smaller Companies,USA,99,30/06/2010,341710
JPMorgan US Smaller Companies,North American Smaller Companies,Cash/Cash Equiv.,1,30/06/2010,341710
Jupiter European Opportunities,Europe,Denmark,16,30/06/2010,19772
Jupiter European Opportunities,Europe,France,15,30/06/2010,19772
Jupiter European Opportunities,Europe,Germany,11,30/06/2010,19772
Jupiter European Opportunities,Europe,Ireland,1,30/06/2010,19772
Jupiter European Opportunities,Europe,Netherlands,10,30/06/2010,19772
Jupiter European Opportunities,Europe,Norway,5,30/06/2010,19772
Jupiter European Opportunities,Europe,Spain,1,30/06/2010,19772
Jupiter European Opportunities,Europe,Sweden,7,30/06/2010,19772
Jupiter European Opportunities,Europe,Switzerland,6,30/06/2010,19772
Jupiter European Opportunities,Europe,UK,25,30/06/2010,19772
Jupiter European Opportunities,Europe,Cash/Cash Equiv.,3,30/06/2010,19772
Jupiter Green,Sector Specialist: Environmental,Austria,1,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Denmark,5,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,France,2,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Germany,3,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Italy,2,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Norway,1,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Spain,3,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Sweden,1,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,UK,27,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Australia,1,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Hong Kong,2,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Japan,7,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Canada,5,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,USA,36,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Cash/Cash Equiv.,3,30/06/2010,B120GL7
Jupiter Green,Sector Specialist: Environmental,Fixed Interest,1,30/06/2010,B120GL7
Jupiter Primadona Growth,Global Growth,Kazakhstan,1,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,European Developed,4,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,UK,65,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,Far East & Pacific Region,6,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,Japan,4,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,USA,15,30/06/2010,703376
Jupiter Primadona Growth,Global Growth,Cash/Cash Equiv.,5,30/06/2010,703376
Juridica Investments (AIM),Sector Specialist: Litigation,Not reported,,,
JZ Capital Partners,Split Capital Trust,Not reported,,,
Keystone,UK Growth,UK,80,30/06/2010,491206
Keystone,UK Growth,USA,5,30/06/2010,491206
Keystone,UK Growth,Cash/Cash Equiv.,15,30/06/2010,491206
Law Debenture Corporation,Global Growth,France,3,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Germany,2,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Ireland,1,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Spain,2,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Switzerland,3,30/06/2010,3142921
Law Debenture Corporation,Global Growth,UK,70,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Far East & Pacific Region,8,30/06/2010,3142921
Law Debenture Corporation,Global Growth,Japan,5,30/06/2010,3142921
Law Debenture Corporation,Global Growth,USA,6,30/06/2010,3142921
London & St Lawrence,Global Growth & Income,Not reported,,,
Lowland,UK Growth & Income,UK,93,30/06/2010,536806
Lowland,UK Growth & Income,Canada,3,30/06/2010,536806
Lowland,UK Growth & Income,Cash/Cash Equiv.,4,30/06/2010,536806
Ludgate Environmental (AIM),Sector Specialist: Environmental,Not reported,,,
M&G Equity,Split Capital Trust,UK,73,30/06/2010,551166
M&G Equity,Split Capital Trust,Cash/Cash Equiv.,4,30/06/2010,551166
M&G Equity,Split Capital Trust,Fixed Interest,23,30/06/2010,551166
M&G Equity Package Unit,UK Growth & Income,Not reported,,,
M&G High Income,Split Capital Trust,Not reported,,,
M&G High Income Geared Unit,Split Capital Trust,Not reported,,,
M&G High Income Package Unit,UK High Income,Not reported,,,
Macau Property Opportunities,Property Direct - Asia Pacific,Not reported,,,
Martin Currie Pacific,Asia Pacific - Including Japan,India,5,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,UK,2,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Australia,12,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,China,16,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Hong Kong,8,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Indonesia,3,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Japan,30,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Malaysia,3,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Singapore,2,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,South Korea,11,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Taiwan,5,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Thailand,2,30/06/2010,569512
Martin Currie Pacific,Asia Pacific - Including Japan,Cash/Cash Equiv.,1,30/06/2010,569512
Martin Currie Portfolio,Global Growth,India,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Belgium,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Germany,3,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Netherlands,1,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Spain,1,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Switzerland,1,30/06/2010,537241
Martin Currie Portfolio,Global Growth,UK,55,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Hong Kong,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Indonesia,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Japan,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Taiwan,1,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Canada,2,30/06/2010,537241
Martin Currie Portfolio,Global Growth,USA,14,30/06/2010,537241
Martin Currie Portfolio,Global Growth,Cash/Cash Equiv.,12,30/06/2010,537241
Marwyn Value Investors,Global Smaller Companies,Not reported,,,
Marwyn Value Investors B shares,Global Smaller Companies,Not reported,,,
Matrix Income & Growth 2 VCT,VCT Generalist,Not reported,,,
Matrix Income & Growth 2 VCT C shares,VCT Generalist,Not reported,,,
Matrix Income & Growth 4 VCT,VCT Generalist,Not reported,,,
Matrix Income & Growth VCT,VCT Generalist,Not reported,,,
Maven Income & Growth VCT,VCT Generalist,Not reported,,,
Maven Income & Growth VCT 2,VCT Generalist,Not reported,,,
Maven Income & Growth VCT 3,VCT Generalist,Not reported,,,
Maven Income & Growth VCT 4,VCT Generalist,Not reported,,,
Maven Income & Growth VCT 4 S shares,VCT Generalist,Not reported,,,
MedicX,Property Specialist,Not reported,,,
Melchior Japan,Japan,Japan,104,30/06/2010,B104VL6
Melchior Japan,Japan,Cash/Cash Equiv.,-4,30/06/2010,B104VL6
Mercantile,UK Growth,UK,92,30/06/2010,579403
Mercantile,UK Growth,Cash/Cash Equiv.,8,30/06/2010,579403
Merchants,UK Growth & Income,UK,99,30/06/2010,580007
Merchants,UK Growth & Income,Cash/Cash Equiv.,1,30/06/2010,580007
Mid Wynd International,Global Growth,South Africa,2,30/06/2010,589383
Mid Wynd International,Global Growth,India,1,30/06/2010,589383
Mid Wynd International,Global Growth,European Emerging,1,30/06/2010,589383
Mid Wynd International,Global Growth,Poland,1,30/06/2010,589383
Mid Wynd International,Global Growth,Turkey,3,30/06/2010,589383
Mid Wynd International,Global Growth,Austria,1,30/06/2010,589383
Mid Wynd International,Global Growth,Belgium,1,30/06/2010,589383
Mid Wynd International,Global Growth,Denmark,1,30/06/2010,589383
Mid Wynd International,Global Growth,Finland,2,30/06/2010,589383
Mid Wynd International,Global Growth,France,2,30/06/2010,589383
Mid Wynd International,Global Growth,Greece,1,30/06/2010,589383
Mid Wynd International,Global Growth,Ireland,1,30/06/2010,589383
Mid Wynd International,Global Growth,Luxembourg,2,30/06/2010,589383
Mid Wynd International,Global Growth,Norway,3,30/06/2010,589383
Mid Wynd International,Global Growth,Sweden,2,30/06/2010,589383
Mid Wynd International,Global Growth,Switzerland,4,30/06/2010,589383
Mid Wynd International,Global Growth,UK,21,30/06/2010,589383
Mid Wynd International,Global Growth,China,9,30/06/2010,589383
Mid Wynd International,Global Growth,Hong Kong,1,30/06/2010,589383
Mid Wynd International,Global Growth,Japan,4,30/06/2010,589383
Mid Wynd International,Global Growth,South Korea,1,30/06/2010,589383
Mid Wynd International,Global Growth,Taiwan,1,30/06/2010,589383
Mid Wynd International,Global Growth,Brazil,9,30/06/2010,589383
Mid Wynd International,Global Growth,Mexico,1,30/06/2010,589383
Mid Wynd International,Global Growth,Canada,3,30/06/2010,589383
Mid Wynd International,Global Growth,USA,15,30/06/2010,589383
Mid Wynd International,Global Growth,Cash/Cash Equiv.,2,30/06/2010,589383
Mid Wynd International,Global Growth,Fixed Interest,5,30/06/2010,589383
Midas Income & Growth,Global Growth & Income,European Developed,4,30/06/2010,876999
Midas Income & Growth,Global Growth & Income,UK,67,30/06/2010,876999
Midas Income & Growth,Global Growth & Income,Far East & Pacific Region,2,30/06/2010,876999
Midas Income & Growth,Global Growth & Income,Japan,2,30/06/2010,876999
Midas Income & Growth,Global Growth & Income,USA,5,30/06/2010,876999
Midas Income & Growth,Global Growth & Income,Fixed Interest,20,30/06/2010,876999
Mithras,Private Equity,Not reported,,,
Monks,Global Growth,South Africa,2,30/06/2010,3051726
Monks,Global Growth,India,1,30/06/2010,3051726
Monks,Global Growth,European Emerging,1,30/06/2010,3051726
Monks,Global Growth,Poland,1,30/06/2010,3051726
Monks,Global Growth,Turkey,3,30/06/2010,3051726
Monks,Global Growth,Austria,1,30/06/2010,3051726
Monks,Global Growth,Denmark,1,30/06/2010,3051726
Monks,Global Growth,Finland,1,30/06/2010,3051726
Monks,Global Growth,Greece,1,30/06/2010,3051726
Monks,Global Growth,Ireland,1,30/06/2010,3051726
Monks,Global Growth,Luxembourg,1,30/06/2010,3051726
Monks,Global Growth,Norway,3,30/06/2010,3051726
Monks,Global Growth,Spain,1,30/06/2010,3051726
Monks,Global Growth,Sweden,1,30/06/2010,3051726
Monks,Global Growth,Switzerland,2,30/06/2010,3051726
Monks,Global Growth,UK,16,30/06/2010,3051726
Monks,Global Growth,Australia,1,30/06/2010,3051726
Monks,Global Growth,China,7,30/06/2010,3051726
Monks,Global Growth,Hong Kong,1,30/06/2010,3051726
Monks,Global Growth,Japan,3,30/06/2010,3051726
Monks,Global Growth,South Korea,2,30/06/2010,3051726
Monks,Global Growth,Taiwan,2,30/06/2010,3051726
Monks,Global Growth,Vietnam,1,30/06/2010,3051726
Monks,Global Growth,Brazil,12,30/06/2010,3051726
Monks,Global Growth,United Arab Emirates,1,30/06/2010,3051726
Monks,Global Growth,Canada,4,30/06/2010,3051726
Monks,Global Growth,USA,18,30/06/2010,3051726
Monks,Global Growth,Cash/Cash Equiv.,3,30/06/2010,3051726
Monks,Global Growth,Fixed Interest,8,30/06/2010,3051726
Montanaro European Smaller Companies,European Smaller Companies,Austria,5,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Belgium,1,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Denmark,2,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Finland,11,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,France,12,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Germany,14,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Greece,3,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Ireland,3,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Italy,4,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Netherlands,12,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Norway,2,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Spain,8,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Sweden,14,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Switzerland,4,30/06/2010,454351
Montanaro European Smaller Companies,European Smaller Companies,Cash/Cash Equiv.,5,30/06/2010,454351
Montanaro UK Smaller Companies,UK Smaller Companies,UK,94,30/06/2010,600756
Montanaro UK Smaller Companies,UK Smaller Companies,Cash/Cash Equiv.,6,30/06/2010,600756
Morant Wright Japan Income Trust,Japan,Not reported,,,
Murray Income,UK Growth & Income,Italy,1,30/06/2010,611112
Murray Income,UK Growth & Income,UK,89,30/06/2010,611112
Murray Income,UK Growth & Income,Cash/Cash Equiv.,7,30/06/2010,611112
Murray Income,UK Growth & Income,Fixed Interest,3,30/06/2010,611112
Murray International,Global Growth & Income,India,1,30/06/2010,611190
Murray International,Global Growth & Income,Belgium,1,30/06/2010,611190
Murray International,Global Growth & Income,France,5,30/06/2010,611190
Murray International,Global Growth & Income,Germany,2,30/06/2010,611190
Murray International,Global Growth & Income,Italy,2,30/06/2010,611190
Murray International,Global Growth & Income,Luxembourg,2,30/06/2010,611190
Murray International,Global Growth & Income,Spain,1,30/06/2010,611190
Murray International,Global Growth & Income,Sweden,2,30/06/2010,611190
Murray International,Global Growth & Income,Switzerland,3,30/06/2010,611190
Murray International,Global Growth & Income,UK,14,30/06/2010,611190
Murray International,Global Growth & Income,Australia,2,30/06/2010,611190
Murray International,Global Growth & Income,China,3,30/06/2010,611190
Murray International,Global Growth & Income,Hong Kong,4,30/06/2010,611190
Murray International,Global Growth & Income,Indonesia,4,30/06/2010,611190
Murray International,Global Growth & Income,Japan,6,30/06/2010,611190
Murray International,Global Growth & Income,Malaysia,3,30/06/2010,611190
Murray International,Global Growth & Income,Singapore,4,30/06/2010,611190
Murray International,Global Growth & Income,Taiwan,4,30/06/2010,611190
Murray International,Global Growth & Income,Thailand,2,30/06/2010,611190
Murray International,Global Growth & Income,Brazil,9,30/06/2010,611190
Murray International,Global Growth & Income,Mexico,5,30/06/2010,611190
Murray International,Global Growth & Income,Canada,1,30/06/2010,611190
Murray International,Global Growth & Income,USA,7,30/06/2010,611190
Murray International,Global Growth & Income,Bermuda,1,30/06/2010,611190
Murray International,Global Growth & Income,Cash/Cash Equiv.,2,30/06/2010,611190
Murray International,Global Growth & Income,Fixed Interest,10,30/06/2010,611190
MW TOPS,Hedge Funds,Not reported,,,
MW TOPS Euro,Hedge Funds,Not reported,,,
MW TOPS USD,Hedge Funds,Not reported,,,
Neptune-Calculus Income & Growth VCT,VCT Generalist,Not reported,,,
New City High Yield,UK High Income,Not reported,,,
New India,Country Specialists: Asia Pacific,India,99,30/06/2010,604877
New India,Country Specialists: Asia Pacific,Cash/Cash Equiv.,1,30/06/2010,604877
North Atlantic Smaller Companies,North American Smaller Companies,Not reported,,,
Northern 2 VCT,VCT Generalist,Not reported,,,
Northern 3 VCT,VCT Generalist,Not reported,,,
Northern AIM VCT,VCT AIM Quoted,Not reported,,,
Northern Investors,Private Equity,Not reported,,,
Northern Venture Trust VCT,VCT Generalist,Not reported,,,
Octopus AIM VCT,VCT AIM Quoted,Not reported,,,
Octopus Apollo VCT 1,VCT Generalist,Not reported,,,
Octopus Apollo VCT 2,VCT Generalist,Not reported,,,
Octopus Eclipse VCT,VCT Generalist,Not reported,,,
Octopus Eclipse VCT 2,VCT Generalist,Not reported,,,
Octopus Eclipse VCT 3,VCT Generalist,Not reported,,,
Octopus Eclipse VCT 4,VCT Generalist,Not reported,,,
Octopus IHT AIM VCT A,VCT AIM Quoted,Not reported,,,
Octopus Phoenix VCT,VCT AIM Quoted,Not reported,,,
Octopus Protected VCT,VCT Generalist,Not reported,,,
Octopus Protected VCT 2,VCT Generalist Pre Qualifying,Not reported,,,
Octopus Second AIM VCT,VCT AIM Quoted,Not reported,,,
Octopus Titan VCT 1,VCT Generalist Pre Qualifying,Not reported,,,
Octopus Titan VCT 2,VCT Generalist Pre Qualifying,Not reported,,,
Octopus Titan VCT 3,VCT Generalist Pre Qualifying,Not reported,,,
Octopus Titan VCT 4,VCT Generalist Pre Qualifying,Not reported,,,
Octopus VCT,VCT Generalist Pre Qualifying,Not reported,,,
Ortus VCT,VCT Generalist,Not reported,,,
Pacific Assets,Asia Pacific - Excluding Japan,India,2,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Hong Kong,35,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Indonesia,10,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Malaysia,3,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Singapore,5,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,South Korea,19,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Taiwan,15,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Thailand,5,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,USA,2,30/06/2010,667438
Pacific Assets,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,4,30/06/2010,667438
Pacific Horizon,Asia Pacific - Excluding Japan,India,6,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,China,25,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Hong Kong,16,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Indonesia,6,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Malaysia,5,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Singapore,10,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,South Korea,14,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Taiwan,11,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Thailand,5,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Vietnam,1,30/06/2010,666747
Pacific Horizon,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,1,30/06/2010,666747
Pantheon International Participations,Private Equity,Not reported,,,
Perpetual Income & Growth,UK Growth & Income,UK,92,30/06/2010,679842
Perpetual Income & Growth,UK Growth & Income,USA,6,30/06/2010,679842
Perpetual Income & Growth,UK Growth & Income,Bermuda,2,30/06/2010,679842
Personal Assets,Global Growth,Switzerland,5,30/06/2010,682754
Personal Assets,Global Growth,UK,27,30/06/2010,682754
Personal Assets,Global Growth,Australia,2,30/06/2010,682754
Personal Assets,Global Growth,USA,31,30/06/2010,682754
Personal Assets,Global Growth,Cash/Cash Equiv.,3,30/06/2010,682754
Personal Assets,Global Growth,Fixed Interest,32,30/06/2010,682754
Phaunos Timber,Sector Specialist: Forestry & Timber,Not reported,,,
Polar Capital Global Healthcare Growth & Income,Sector Specialist: Biotechnology/Life Sciences,Not reported,,,
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,India,2,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Germany,1,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Netherlands,3,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Sweden,1,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,UK,6,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,China,1,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Hong Kong,1,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Japan,5,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,South Korea,3,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Taiwan,2,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Israel,2,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Canada,1,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,USA,64,30/06/2010,422002
Polar Capital Technology,Sector Specialist: Tech Media & Telecomm,Cash/Cash Equiv.,8,30/06/2010,422002
Premier Energy & Water,Split Capital Trust,India,3,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Finland,1,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,France,8,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Germany,5,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Greece,3,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Italy,5,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Spain,2,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,UK,14,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,China,13,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Hong Kong,4,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Singapore,2,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Thailand,5,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Canada,1,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,USA,32,30/06/2010,3353790
Premier Energy & Water,Split Capital Trust,Cash/Cash Equiv.,2,30/06/2010,3353790
Premier Renewable Energy,Split Capital Trust,Not reported,,,
Princess Private Equity Holding,Private Equity,Not reported,,,
Private Equity Investor,Private Equity,USA,78,30/06/2010,50403
Private Equity Investor,Private Equity,Cash/Cash Equiv.,22,30/06/2010,50403
Prospect Japan,Japanese Smaller Companies,Not reported,,,
ProVen Growth and Income VCT,VCT Generalist,Not reported,,,
ProVen Growth and Income VCT D shares,VCT Generalist Pre Qualifying,Not reported,,,
ProVen Health VCT,VCT Specialist: Healthcare & Biotechnology,Not reported,,,
ProVen VCT,VCT Generalist,Not reported,,,
ProVen VCT C shares,VCT Generalist,Not reported,,,
ProVen VCT D shares,VCT Generalist Pre Qualifying,Not reported,,,
PSource Structured Debt,Sector Specialist: Debt,Not reported,,,
Puma VCT,VCT Generalist,Not reported,,,
Puma VCT II,VCT Generalist,Not reported,,,
Queen's Walk Investment,Sector Specialist: Debt,Not reported,,,
RCM Technology,Sector Specialist: Tech Media & Telecomm,Germany,3,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,UK,3,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,China,10,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,South Korea,2,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,Taiwan,1,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,USA,74,30/06/2010,339072
RCM Technology,Sector Specialist: Tech Media & Telecomm,Cash/Cash Equiv.,7,30/06/2010,339072
Renaissance US Growth,North American Smaller Companies,Canada,2,30/06/2010,732518
Renaissance US Growth,North American Smaller Companies,USA,86,30/06/2010,732518
Renaissance US Growth,North American Smaller Companies,Cash/Cash Equiv.,5,30/06/2010,732518
Renaissance US Growth,North American Smaller Companies,Fixed Interest,7,30/06/2010,732518
Rensburg AIM VCT,VCT AIM Quoted,Not reported,,,
Rights & Issues,Split Capital Trust,Not reported,,,
RIT Capital Partners,Global Growth,Not reported,,,
Schroder AsiaPacific,Asia Pacific - Excluding Japan,India,2,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,UK,1,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Australia,3,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,China,9,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Hong Kong,22,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Indonesia,3,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Philippines,4,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Singapore,14,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,South Korea,14,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Taiwan,17,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Thailand,2,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Canada,4,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,USA,3,30/06/2010,791887
Schroder AsiaPacific,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,2,30/06/2010,791887
Schroder Income Growth,UK Growth & Income,UK,99,30/06/2010,791586
Schroder Income Growth,UK Growth & Income,Cash/Cash Equiv.,1,30/06/2010,791586
Schroder Japan Growth,Japan,Japan,94,30/06/2010,802284
Schroder Japan Growth,Japan,Cash/Cash Equiv.,6,30/06/2010,802284
Schroder Oriental Income,Asia Pacific - Excluding Japan,Australia,23,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,China,8,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Hong Kong,17,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Indonesia,2,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,New Zealand,2,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Philippines,3,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Singapore,18,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,South Korea,4,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Taiwan,15,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Thailand,5,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,Canada,2,30/06/2010,B0CRWN5
Schroder Oriental Income,Asia Pacific - Excluding Japan,USA,1,30/06/2010,B0CRWN5
Schroder UK Growth,UK Growth,UK,85,30/06/2010,791348
Schroder UK Growth,UK Growth,Canada,3,30/06/2010,791348
Schroder UK Growth,UK Growth,USA,3,30/06/2010,791348
Schroder UK Growth,UK Growth,Cash/Cash Equiv.,9,30/06/2010,791348
Schroder UK Mid & Small Cap,UK Growth,UK,95,30/06/2010,610841
Schroder UK Mid & Small Cap,UK Growth,Cash/Cash Equiv.,5,30/06/2010,610841
Scottish American,Global Growth & Income,South Africa,1,30/06/2010,787369
Scottish American,Global Growth & Income,India,1,30/06/2010,787369
Scottish American,Global Growth & Income,Russia,1,30/06/2010,787369
Scottish American,Global Growth & Income,France,2,30/06/2010,787369
